group,n_cal,n_test,reliable,D_raw,U_g,S_g,accuracy,coverage_marginal,coverage_gc,coverage_fair,gap_marginal,undercoverage_marginal,D_g,dominant_cause
African,851,426,True,0.03427955850955305,0.09959593050788013,0.3004694835680751,0.6995305164319249,0.8967136150234741,0.9061032863849765,0.8990610328638498,-0.0032863849765258912,0.0032863849765258912,0.0,SystemicBias
unknown,778,390,True,0.03585173696910374,0.09624826424939732,0.23333333333333328,0.7666666666666667,0.9615384615384616,0.8846153846153846,0.9282051282051282,0.06153846153846154,0.0,0.0016279850689753074,SystemicBias
Women,728,386,True,0.03706246583305506,0.12421686957649171,0.3290155440414507,0.6709844559585493,0.8730569948186528,0.9067357512953368,0.8756476683937824,-0.02694300518134718,0.02694300518134718,0.0028816903981104553,SystemicBias
Other,684,360,True,0.038235955645093626,0.10657386561490875,0.375,0.625,0.8777777777777778,0.9,0.8805555555555555,-0.022222222222222254,0.022222222222222254,0.004096834824614941,SystemicBias
Islam,616,274,True,0.040291148201269014,0.09817512191195525,0.35036496350364965,0.6496350364963503,0.8576642335766423,0.9051094890510949,0.864963503649635,-0.04233576642335768,0.04233576642335768,0.006224979231503027,SystemicBias
Jewish,493,244,True,0.04503773491110449,0.07820425718909231,0.2704918032786885,0.7295081967213115,0.9057377049180327,0.9262295081967213,0.9057377049180327,0.0057377049180327155,0.0,0.011140052482422126,SystemicBias
Homosexual,514,241,True,0.04410810913912309,0.12656367269830096,0.39834024896265563,0.6016597510373444,0.8755186721991701,0.9004149377593361,0.8796680497925311,-0.0244813278008299,0.0244813278008299,0.010177428381241596,SystemicBias
Arab,325,171,True,0.05547001962252291,0.10681644092779229,0.3391812865497076,0.6608187134502924,0.8888888888888888,0.9181286549707602,0.8888888888888888,-0.011111111111111183,0.011111111111111183,0.021942645306612246,SystemicBias
Men,315,168,True,0.0563436169819011,0.08780543944358499,0.29761904761904767,0.7023809523809523,0.8988095238095238,0.9226190476190477,0.9047619047619048,-0.0011904761904761862,0.0011904761904761862,0.022847252190598178,SystemicBias
Refugee,299,153,True,0.05783149319662402,0.12066762119861058,0.39869281045751637,0.6013071895424836,0.8758169934640523,0.9281045751633987,0.8758169934640523,-0.024183006535947738,0.024183006535947738,0.024387942592083933,SystemicBias
Caucasian,328,148,True,0.05521576303742327,0.13845513734409165,0.3581081081081081,0.6418918918918919,0.8851351351351351,0.8986486486486487,0.8851351351351351,-0.014864864864864935,0.014864864864864935,0.02167936353874655,SystemicBias
Hispanic,126,74,True,0.0890870806374748,0.08774153792047852,0.2702702702702703,0.7297297297297297,0.918918918918919,0.9459459459459459,0.918918918918919,0.018918918918918948,0.0,0.05675298955392766,SystemicBias
Asian,138,69,True,0.08512565307587486,0.1532962772781264,0.3913043478260869,0.6086956521739131,0.855072463768116,0.927536231884058,0.855072463768116,-0.04492753623188406,0.04492753623188406,0.052650945741449115,SystemicBias
Minority,41,25,False,0.15617376188860607,0.011235695363661227,0.12,0.88,0.88,0.92,0.88,-0.020000000000000018,0.020000000000000018,0.12622100365912034,Mixed
Christian,38,19,False,0.16222142113076254,0.04249722434840899,0.1578947368421053,0.8421052631578947,0.8947368421052632,1.0,0.8947368421052632,-0.0052631578947368585,0.0052631578947368585,0.13248333277873886,Mixed
Heterosexual,23,13,False,0.20851441405707477,0.09777001252968648,0.3076923076923077,0.6923076923076923,1.0,1.0,1.0,0.09999999999999998,0.0,0.18041955835439905,SystemicBias
Nonreligious,17,13,False,0.24253562503633297,0.013647161317812797,0.0,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.2156483984178355,DataScarcity
Disability,34,12,False,0.17149858514250882,0.146265644539222,0.41666666666666663,0.5833333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,-0.06666666666666665,0.06666666666666665,0.14208980232537943,SystemicBias
Economic,11,11,False,0.30151134457776363,0.1424695529037531,0.4545454545454546,0.5454545454545454,0.8181818181818182,0.9090909090909091,0.8181818181818182,-0.08181818181818179,0.08181818181818179,0.2767175412128356,SystemicBias
Indigenous,11,10,False,0.30151134457776363,0.012594589191605204,0.09999999999999998,0.9,1.0,1.0,1.0,0.09999999999999998,0.0,0.2767175412128356,DataScarcity
Indian,14,6,False,0.2672612419124244,0.037659229482817365,0.33333333333333337,0.6666666666666666,1.0,1.0,1.0,0.09999999999999998,0.0,0.24125168464208802,SystemicBias
Hindu,11,5,False,0.30151134457776363,0.06525766474619485,0.6,0.4,0.6,0.6,0.6,-0.30000000000000004,0.30000000000000004,0.2767175412128356,SystemicBias
Asexual,1,1,False,1.0,0.008100889860122083,0.0,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,1.0,DataScarcity
