Group,Reliable_Group,N_Test,N_Calibration,Marginal_Coverage,Marginal_CI_Low,Marginal_CI_High,Marginal_SetSize,GroupCond_Coverage,GroupCond_CI_Low,GroupCond_CI_High,GroupCond_SetSize,GroupCond_Fallback,FairCP_Coverage,FairCP_CI_Low,FairCP_CI_High,FairCP_SetSize,FairCP_Fallback
African,True,426,851,0.8967,0.8642,0.9222,1.8615,0.9061,0.8747,0.9303,2.0986,False,0.8991,0.8668,0.9242,1.8779,False
Arab,True,171,325,0.8889,0.8330,0.9277,1.8713,0.9181,0.8673,0.9506,2.2281,False,0.8889,0.8330,0.9277,1.9006,False
Asexual,False,1,1,1.0000,0.2065,1.0000,1.0000,1.0000,0.2065,1.0000,2.0000,True,1.0000,0.2065,1.0000,1.0000,True
Asian,True,69,138,0.8551,0.7534,0.9193,2.0000,0.9275,0.8413,0.9687,2.4058,False,0.8551,0.7534,0.9193,2.0000,False
Caucasian,True,148,328,0.8851,0.8237,0.9270,1.9662,0.8986,0.8395,0.9376,2.1824,False,0.8851,0.8237,0.9270,1.9662,False
Christian,False,19,38,0.8947,0.6861,0.9706,1.4211,1.0000,0.8318,1.0000,2.5789,False,0.8947,0.6861,0.9706,1.4211,False
Disability,False,12,34,0.8333,0.5520,0.9530,2.0000,0.9167,0.6461,0.9851,2.5833,False,0.8333,0.5520,0.9530,2.0000,False
Economic,False,11,11,0.8182,0.5230,0.9486,1.7273,0.9091,0.6226,0.9838,2.0000,True,0.8182,0.5230,0.9486,1.7273,True
Heterosexual,False,13,23,1.0000,0.7719,1.0000,1.7692,1.0000,0.7719,1.0000,2.3846,True,1.0000,0.7719,1.0000,1.7692,True
Hindu,False,5,11,0.6000,0.2307,0.8824,1.2000,0.6000,0.2307,0.8824,1.6000,True,0.6000,0.2307,0.8824,1.2000,True
Hispanic,True,74,126,0.9189,0.8342,0.9623,1.7838,0.9459,0.8691,0.9788,2.1216,False,0.9189,0.8342,0.9623,1.8108,False
Homosexual,True,241,514,0.8755,0.8279,0.9114,1.9502,0.9004,0.8561,0.9322,2.0830,False,0.8797,0.8325,0.9149,1.9585,False
Indian,False,6,14,1.0000,0.6097,1.0000,2.1667,1.0000,0.6097,1.0000,2.3333,True,1.0000,0.6097,1.0000,2.1667,True
Indigenous,False,10,11,1.0000,0.7225,1.0000,1.4000,1.0000,0.7225,1.0000,2.2000,True,1.0000,0.7225,1.0000,1.4000,True
Islam,True,274,616,0.8577,0.8113,0.8941,1.8869,0.9051,0.8646,0.9344,2.2336,False,0.8650,0.8194,0.9004,1.9234,False
Jewish,True,244,493,0.9057,0.8625,0.9364,1.7008,0.9262,0.8864,0.9528,1.8648,False,0.9057,0.8625,0.9364,1.7049,False
Men,True,168,315,0.8988,0.8439,0.9359,1.8214,0.9226,0.8721,0.9542,2.0952,False,0.9048,0.8509,0.9405,1.8393,False
Minority,False,25,41,0.8800,0.7004,0.9583,1.4000,0.9200,0.7503,0.9778,2.0800,False,0.8800,0.7004,0.9583,1.4400,False
Nonreligious,False,13,17,1.0000,0.7719,1.0000,1.6154,1.0000,0.7719,1.0000,2.1538,True,1.0000,0.7719,1.0000,1.6923,True
Other,True,360,684,0.8778,0.8399,0.9077,1.9194,0.9000,0.8647,0.9269,2.1500,False,0.8806,0.8430,0.9101,1.9389,False
Refugee,True,153,299,0.8758,0.8142,0.9190,1.8627,0.9281,0.8759,0.9594,2.2157,False,0.8758,0.8142,0.9190,1.8758,False
Women,True,386,728,0.8731,0.8361,0.9026,1.8575,0.9067,0.8736,0.9319,2.1554,False,0.8756,0.8390,0.9049,1.8705,False
unknown,True,390,778,0.9615,0.9375,0.9766,1.7051,0.8846,0.8491,0.9126,1.3436,False,0.9282,0.8982,0.9499,1.5744,False
