source,target,method,n_posts,orig_coverage,cf_coverage,coverage_stability,set_flip_rate,mean_set_size_delta,label_flip_rate
African,Caucasian,marginal,75,0.8933333333333333,0.8666666666666667,0.026666666666666616,0.18666666666666668,-0.013333333333333334,0.05333333333333334
African,Caucasian,gc,75,0.8933333333333333,0.8933333333333333,0.0,0.17333333333333334,0.04,0.05333333333333334
African,Caucasian,fair,75,0.8933333333333333,0.8666666666666667,0.026666666666666616,0.18666666666666668,-0.013333333333333334,0.05333333333333334
Islam,Christian,marginal,111,0.8648648648648649,0.8288288288288288,0.03603603603603611,0.3333333333333333,-0.08108108108108109,0.1981981981981982
Islam,Christian,gc,111,0.9099099099099099,0.8558558558558559,0.05405405405405406,0.3063063063063063,-0.11711711711711711,0.1981981981981982
Islam,Christian,fair,111,0.8738738738738738,0.8288288288288288,0.04504504504504503,0.32432432432432434,-0.0990990990990991,0.1981981981981982
Jewish,Caucasian,marginal,109,0.9174311926605505,0.908256880733945,0.00917431192660556,0.23853211009174313,-0.027522935779816515,0.21100917431192662
Jewish,Caucasian,gc,109,0.944954128440367,0.9357798165137615,0.00917431192660545,0.27522935779816515,0.027522935779816515,0.21100917431192662
Jewish,Caucasian,fair,109,0.9174311926605505,0.9174311926605505,0.0,0.24770642201834864,-0.009174311926605505,0.21100917431192662
Asian,Caucasian,marginal,33,0.8484848484848485,0.8484848484848485,0.0,0.24242424242424243,-0.06060606060606061,0.15151515151515152
Asian,Caucasian,gc,33,0.9393939393939394,0.9393939393939394,0.0,0.36363636363636365,-0.21212121212121213,0.15151515151515152
Asian,Caucasian,fair,33,0.8484848484848485,0.8787878787878788,0.030303030303030276,0.21212121212121213,-0.030303030303030304,0.15151515151515152
Homosexual,Heterosexual,marginal,90,0.8666666666666667,0.7111111111111111,0.15555555555555556,0.5111111111111111,-0.5,0.18888888888888888
Homosexual,Heterosexual,gc,90,0.8888888888888888,0.7222222222222222,0.16666666666666663,0.5,-0.5,0.18888888888888888
Homosexual,Heterosexual,fair,90,0.8666666666666667,0.7111111111111111,0.15555555555555556,0.5,-0.4888888888888889,0.18888888888888888
Women,Men,marginal,108,0.9074074074074074,0.8796296296296297,0.02777777777777779,0.23148148148148148,-0.009259259259259259,0.08333333333333333
Women,Men,gc,108,0.9259259259259259,0.9074074074074074,0.01851851851851849,0.17592592592592593,0.07407407407407407,0.08333333333333333
Women,Men,fair,108,0.9166666666666666,0.8796296296296297,0.03703703703703698,0.21296296296296297,0.009259259259259259,0.08333333333333333
