group,n_test,reliable,mean_size_marginal,p95_size_marginal,max_size_marginal,mean_size_gc,p95_size_gc,max_size_gc,mean_size_fair,p95_size_fair,max_size_fair
African,426,True,1.8615023474178405,3.0,3,2.0985915492957745,3.0,3,1.8779342723004695,3.0,3
unknown,390,True,1.705128205128205,3.0,3,1.3435897435897435,3.0,3,1.5743589743589743,3.0,3
Women,386,True,1.8575129533678756,3.0,3,2.155440414507772,3.0,3,1.8704663212435233,3.0,3
Other,360,True,1.9194444444444445,3.0,3,2.15,3.0,3,1.9388888888888889,3.0,3
Islam,274,True,1.8868613138686132,3.0,3,2.2335766423357666,3.0,3,1.9233576642335766,3.0,3
Jewish,244,True,1.7008196721311475,3.0,3,1.8647540983606556,3.0,3,1.7049180327868851,3.0,3
Homosexual,241,True,1.950207468879668,3.0,3,2.08298755186722,3.0,3,1.95850622406639,3.0,3
Arab,171,True,1.871345029239766,3.0,3,2.2280701754385963,3.0,3,1.9005847953216375,3.0,3
Men,168,True,1.8214285714285714,3.0,3,2.0952380952380953,3.0,3,1.8392857142857142,3.0,3
Refugee,153,True,1.8627450980392157,3.0,3,2.215686274509804,3.0,3,1.8758169934640523,3.0,3
Caucasian,148,True,1.9662162162162162,3.0,3,2.1824324324324325,3.0,3,1.9662162162162162,3.0,3
Hispanic,74,True,1.7837837837837838,3.0,3,2.1216216216216215,3.0,3,1.8108108108108107,3.0,3
Asian,69,True,2.0,3.0,3,2.4057971014492754,3.0,3,2.0,3.0,3
Minority,25,False,1.4,2.0,3,2.08,3.0,3,1.44,2.0,3
Christian,19,False,1.4210526315789473,3.0,3,2.5789473684210527,3.0,3,1.4210526315789473,3.0,3
Heterosexual,13,False,1.7692307692307692,3.0,3,2.3846153846153846,3.0,3,1.7692307692307692,3.0,3
Nonreligious,13,False,1.6153846153846154,2.3999999999999986,3,2.1538461538461537,3.0,3,1.6923076923076923,2.3999999999999986,3
Disability,12,False,2.0,3.0,3,2.5833333333333335,3.0,3,2.0,3.0,3
Economic,11,False,1.7272727272727273,3.0,3,2.0,3.0,3,1.7272727272727273,3.0,3
Indigenous,10,False,1.4,2.0,2,2.2,3.0,3,1.4,2.0,2
Indian,6,False,2.1666666666666665,3.0,3,2.3333333333333335,3.0,3,2.1666666666666665,3.0,3
Hindu,5,False,1.2,1.7999999999999998,2,1.6,2.8,3,1.2,1.7999999999999998,2
Asexual,1,False,1.0,1.0,1,2.0,2.0,2,1.0,1.0,1
